frame_id,file,condition,success,failure,failure_reason,exception_type,stage_of_failure
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,sparse_25pct,True,False,,,
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,noise_low,True,False,,,
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,noise_medium,True,False,,,
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,noise_high,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,original,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,dropout_5pct,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,dropout_10pct,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,dropout_20pct,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,dropout_30pct,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,sparse_75pct,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,sparse_50pct,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,sparse_25pct,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,noise_low,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,noise_medium,True,False,,,
b26e791522294bec90f86fd72226e35c,b26e791522294bec90f86fd72226e35c_LIDAR_TOP_xyzi.npy,noise_high,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,original,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dropout_5pct,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dropout_10pct,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dropout_20pct,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dropout_30pct,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,sparse_75pct,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,sparse_50pct,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,sparse_25pct,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,noise_low,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,noise_medium,True,False,,,
dc4c80e8a1534ff8a3eb80307341161c,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,noise_high,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,original,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,dropout_5pct,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,dropout_10pct,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,dropout_20pct,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,dropout_30pct,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,sparse_75pct,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,sparse_50pct,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,sparse_25pct,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,noise_low,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,noise_medium,True,False,,,
c844bf5a9f2243ff8f4bf2c85fe218ff,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,noise_high,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,original,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,dropout_5pct,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,dropout_10pct,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,dropout_20pct,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,dropout_30pct,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,sparse_75pct,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,sparse_50pct,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,sparse_25pct,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,noise_low,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,noise_medium,True,False,,,
5c85640c10d9485c86bf6eb44778c002,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,noise_high,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,original,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,dropout_5pct,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,dropout_10pct,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,dropout_20pct,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,dropout_30pct,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,sparse_75pct,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,sparse_50pct,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,sparse_25pct,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,noise_low,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,noise_medium,True,False,,,
858a1ece22cf45d9bc71e42336604b78,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,noise_high,True,False,,,
